week_startdate,id_semana,des_semana
2019-12-28,2020011,2020 B 01 S 1
2020-01-04,2020012,2020 B 01 S 2
2020-01-11,2020013,2020 B 01 S 3
2020-01-18,2020014,2020 B 01 S 4
2020-01-25,2020015,2020 B 01 S 5
2020-02-01,2020021,2020 B 02 S 1
2020-02-08,2020022,2020 B 02 S 2
2020-02-15,2020023,2020 B 02 S 3
2020-02-22,2020024,2020 B 02 S 4
2020-02-29,2020031,2020 B 03 S 1
2020-03-07,2020032,2020 B 03 S 2
2020-03-14,2020033,2020 B 03 S 3
2020-03-21,2020034,2020 B 03 S 4
2020-03-28,2020041,2020 B 04 S 1
2020-04-04,2020042,2020 B 04 S 2
2020-04-11,2020043,2020 B 04 S 3
2020-04-18,2020044,2020 B 04 S 4
2020-04-25,2020045,2020 B 04 S 5
2020-05-02,2020051,2020 B 05 S 1
2020-05-09,2020052,2020 B 05 S 2
2020-05-16,2020053,2020 B 05 S 3
2020-05-23,2020054,2020 B 05 S 4
2020-05-30,2020061,2020 B 06 S 1
2020-06-06,2020062,2020 B 06 S 2
2020-06-13,2020063,2020 B 06 S 3
2020-06-20,2020064,2020 B 06 S 4
2020-06-27,2020071,2020 B 07 S 1
2020-07-04,2020072,2020 B 07 S 2
2020-07-11,2020073,2020 B 07 S 3
2020-07-18,2020074,2020 B 07 S 4
2020-07-25,2020075,2020 B 07 S 5
2020-08-01,2020081,2020 B 08 S 1
2020-08-08,2020082,2020 B 08 S 2
2020-08-15,2020083,2020 B 08 S 3
2020-08-22,2020084,2020 B 08 S 4
2020-08-29,2020091,2020 B 09 S 1
2020-09-05,2020092,2020 B 09 S 2
2020-09-12,2020093,2020 B 09 S 3
2020-09-19,2020094,2020 B 09 S 4
2020-09-26,2020101,2020 B 10 S 1
2020-10-03,2020102,2020 B 10 S 2
2020-10-10,2020103,2020 B 10 S 3
2020-10-17,2020104,2020 B 10 S 4
2020-10-24,2020105,2020 B 10 S 5
2020-10-31,2020111,2020 B 11 S 1
2020-11-07,2020112,2020 B 11 S 2
2020-11-14,2020113,2020 B 11 S 3
2020-11-21,2020114,2020 B 11 S 4
2020-11-28,2020121,2020 B 12 S 1
2020-12-05,2020122,2020 B 12 S 2
2020-12-12,2020123,2020 B 12 S 3
2020-12-19,2020124,2020 B 12 S 4
2020-12-26,2020125,2020 B 12 S 5
2021-01-02,2021011,2021 B 01 S 1
2021-01-09,2021012,2021 B 01 S 2
2021-01-16,2021013,2021 B 01 S 3
2021-01-23,2021014,2021 B 01 S 4
2021-01-30,2021015,2021 B 01 S 5
2021-02-06,2021021,2021 B 02 S 1
2021-02-13,2021022,2021 B 02 S 2
2021-02-20,2021023,2021 B 02 S 3
2021-02-27,2021024,2021 B 02 S 4
2021-03-06,2021031,2021 B 03 S 1
2021-03-13,2021032,2021 B 03 S 2
2021-03-20,2021033,2021 B 03 S 3
2021-03-27,2021034,2021 B 03 S 4
2021-04-03,2021041,2021 B 04 S 1
2021-04-10,2021042,2021 B 04 S 2
2021-04-17,2021043,2021 B 04 S 3
2021-04-24,2021044,2021 B 04 S 4
2021-05-01,2021045,2021 B 04 S 5
2021-05-08,2021051,2021 B 05 S 1
2021-05-15,2021052,2021 B 05 S 2
2021-05-22,2021053,2021 B 05 S 3
2021-05-29,2021054,2021 B 05 S 4
2021-06-05,2021061,2021 B 06 S 1
2021-06-12,2021062,2021 B 06 S 2
2021-06-19,2021063,2021 B 06 S 3
2021-06-26,2021064,2021 B 06 S 4
2021-07-03,2021071,2021 B 07 S 1
2021-07-10,2021072,2021 B 07 S 2
2021-07-17,2021073,2021 B 07 S 3
2021-07-24,2021074,2021 B 07 S 4
2021-07-31,2021075,2021 B 07 S 5
2021-08-07,2021081,2021 B 08 S 1
2021-08-14,2021082,2021 B 08 S 2
2021-08-21,2021083,2021 B 08 S 3
2021-08-28,2021084,2021 B 08 S 4
2021-09-04,2021091,2021 B 09 S 1
2021-09-11,2021092,2021 B 09 S 2
2021-09-18,2021093,2021 B 09 S 3
2021-09-25,2021094,2021 B 09 S 4
2021-10-02,2021101,2021 B 10 S 1
2021-10-09,2021102,2021 B 10 S 2
2021-10-16,2021103,2021 B 10 S 3
2021-10-23,2021104,2021 B 10 S 4
2021-10-30,2021105,2021 B 10 S 5
2021-11-06,2021111,2021 B 11 S 1
2021-11-13,2021112,2021 B 11 S 2
2021-11-20,2021113,2021 B 11 S 3
2021-11-27,2021114,2021 B 11 S 4
2021-12-04,2021121,2021 B 12 S 1
2021-12-11,2021122,2021 B 12 S 2
2021-12-18,2021123,2021 B 12 S 3
2021-12-25,2021124,2021 B 12 S 4
